,Año,Trimestre,Provincia,+ 30 Mbps,Total,menos_30mbps,year_trim
345,2019,1,Jujuy,1141,83736,38135,19_1
394,2018,3,La Pampa,216,83342,89733,18_3
702,2015,2,Corrientes,126,83319,69726,15_2
83,2021,4,La Rioja,43424,83128,34438,21_4
340,2019,1,Chubut,165,82678,84285,19_1
442,2018,1,La Pampa,98,82375,84889,18_1
418,2018,2,La Pampa,179,82344,98660,18_2
107,2021,3,La Rioja,42613,82160,33739,21_3
131,2021,2,La Rioja,42158,81602,33625,21_2
726,2015,1,Corrientes,98,81484,68271,15_1
723,2015,1,Chaco,135,81357,69974,15_1
466,2017,4,La Pampa,81,81086,89712,17_4
580,2016,3,Chubut,0,80705,79554,16_3
508,2017,2,Chubut,0,80229,81976,17_2
556,2016,4,Chubut,0,80197,82454,16_4
532,2017,1,Chubut,0,80150,81951,17_1
89,2021,4,San Juan,9800,79958,58746,21_4
604,2016,2,Chubut,0,79846,84219,16_2
113,2021,3,San Juan,278,79483,68088,21_3
137,2021,2,San Juan,278,78933,68154,21_2
364,2018,4,Chubut,165,78722,82178,18_4
628,2016,1,Chubut,0,78651,78431,16_1
484,2017,3,Chubut,0,78607,80222,17_3
652,2015,4,Chubut,0,78448,83905,15_4
676,2015,3,Chubut,0,78362,83964,15_3
161,2021,1,San Juan,276,78267,77523,21_1
209,2020,3,San Juan,128,77327,74885,20_3
757,2014,4,Misiones,12,77229,63239,14_4
305,2019,3,San Juan,128,76968,71922,19_3
781,2014,3,Misiones,1,75322,75153,14_3
610,2016,2,La Pampa,11,75214,80984,16_2
490,2017,3,La Pampa,51,75202,85618,17_3
805,2014,2,Misiones,0,74689,73643,14_2
402,2018,3,San Luis,2,74362,22650,18_3
829,2014,1,Misiones,0,73954,69328,14_1
185,2020,4,San Juan,275,72596,71952,20_4
796,2014,2,Chubut,0,70514,70514,14_2
2,2022,3,Catamarca,50298,70293,16493,22_3
329,2019,2,San Juan,4,70240,71183,19_2
233,2020,2,San Juan,127,69777,66841,20_2
514,2017,2,La Pampa,21,69193,77038,17_2
772,2014,3,Chubut,0,69099,69065,14_3
477,2017,4,Santiago Del Estero,2,68842,50724,17_4
820,2014,1,Chubut,0,68791,68881,14_1
748,2014,4,Chubut,0,68538,68468,14_4
8,2022,3,Formosa,17704,68538,39412,22_3
538,2017,1,La Pampa,11,68079,74208,17_1
32,2022,2,Formosa,16326,67881,35417,22_2
257,2020,1,San Juan,127,67861,63899,20_1
562,2016,4,La Pampa,11,67345,74833,16_4
26,2022,2,Catamarca,43926,67008,19076,22_2
586,2016,3,La Pampa,11,66717,73099,16_3
747,2014,4,Chaco,2,66060,61039,14_4
750,2014,4,Corrientes,9,65710,46074,14_4
501,2017,3,Santiago Del Estero,2,65360,47760,17_3
281,2019,4,San Juan,127,64974,62808,19_4
401,2018,3,San Juan,1,64369,67221,18_3
724,2015,1,Chubut,0,64262,70019,15_1
425,2018,2,San Juan,0,64073,59219,18_2
353,2019,1,San Juan,2,63982,70120,19_1
634,2016,1,La Pampa,11,63783,68932,16_1
771,2014,3,Chaco,0,63770,61969,14_3
774,2014,3,Corrientes,0,63539,58547,14_3
795,2014,2,Chaco,0,63304,61639,14_2
449,2018,1,San Juan,0,63240,58386,18_1
798,2014,2,Corrientes,0,62957,66542,14_2
700,2015,2,Chubut,0,62647,68383,15_2
819,2014,1,Chaco,0,62546,68558,14_1
658,2015,4,La Pampa,10,62479,68789,15_4
377,2018,4,San Juan,1,62398,64626,18_4
50,2022,1,Catamarca,35715,62378,22190,22_1
822,2014,1,Corrientes,0,62235,63599,14_1
682,2015,3,La Pampa,10,61473,67817,15_3
706,2015,2,La Pampa,10,60240,60644,15_2
730,2015,1,La Pampa,10,59210,59381,15_1
74,2021,4,Catamarca,29827,59090,19814,21_4
569,2016,4,San Juan,4,58840,60888,16_4
593,2016,3,San Juan,2,58832,61107,16_3
521,2017,2,San Juan,4,58800,60668,17_2
545,2017,1,San Juan,4,58792,60588,17_1
497,2017,3,San Juan,2,58695,58989,17_3
473,2017,4,San Juan,2,58622,58827,17_4
617,2016,2,San Juan,4,57876,60419,16_2
641,2016,1,San Juan,2,56767,59627,16_1
98,2021,3,Catamarca,26618,56254,19641,21_3
665,2015,4,San Juan,2,56158,59711,15_4
122,2021,2,Catamarca,25388,55744,19698,21_2
689,2015,3,San Juan,2,55365,58963,15_3
56,2022,1,Formosa,15028,54548,43336,22_1
778,2014,3,La Pampa,10,54155,54202,14_3
22,2022,3,Tierra Del Fuego,1021,53896,42386,22_3
46,2022,2,Tierra Del Fuego,1006,53770,42262,22_2
80,2021,4,Formosa,13775,53663,31694,21_4
104,2021,3,Formosa,12707,52795,34758,21_3
179,2020,4,La Rioja,4979,52778,43539,20_4
155,2021,1,La Rioja,5074,52628,43693,21_1
203,2020,3,La Rioja,4748,52616,39031,20_3
70,2022,1,Tierra Del Fuego,982,52611,41830,22_1
170,2020,4,Catamarca,20406,52396,26899,20_4
94,2021,4,Tierra Del Fuego,1017,52357,35925,21_4
443,2018,1,La Rioja,1,52242,48276,18_1
467,2017,4,La Rioja,3,52195,48388,17_4
227,2020,2,La Rioja,4336,52155,43011,20_2
761,2014,4,San Juan,2,52119,56518,14_4
713,2015,2,San Juan,2,51988,55748,15_2
146,2021,1,Catamarca,22996,51968,25368,21_1
419,2018,2,La Rioja,15,51945,42917,18_2
491,2017,3,La Rioja,3,51924,48373,17_3
395,2018,3,La Rioja,339,51869,47653,18_3
737,2015,1,San Juan,2,51801,55876,15_1
785,2014,3,San Juan,0,51771,56226,14_3
347,2019,1,La Rioja,869,51653,46930,19_1
371,2018,4,La Rioja,869,51651,46925,18_4
809,2014,2,San Juan,0,51646,56299,14_2
833,2014,1,San Juan,0,51589,56386,14_1
128,2021,2,Formosa,11077,51551,28261,21_2
152,2021,1,Formosa,9579,50686,32100,21_1
118,2021,3,Tierra Del Fuego,976,50223,35108,21_3
176,2020,4,Formosa,8946,50206,32478,20_4
194,2020,3,Catamarca,18886,49904,25721,20_3
754,2014,4,La Pampa,10,49710,49755,14_4
299,2019,3,La Rioja,1307,49678,43954,19_3
19,2022,3,Santa Cruz,4604,49510,33414,22_3
200,2020,3,Formosa,8219,49209,45618,20_3
43,2022,2,Santa Cruz,3592,49185,34048,22_2
67,2022,1,Santa Cruz,2551,49102,35023,22_1
275,2019,4,La Rioja,1305,49002,43039,19_4
139,2021,2,Santa Cruz,676,48982,39558,21_2
115,2021,3,Santa Cruz,678,48976,39648,21_3
310,2019,3,Tierra Del Fuego,226,48557,34909,19_3
91,2021,4,Santa Cruz,876,48486,37026,21_4
251,2020,1,La Rioja,1294,48345,38113,20_1
218,2020,2,Catamarca,16578,47976,23933,20_2
224,2020,2,Formosa,7475,47932,45562,20_2
802,2014,2,La Pampa,10,47919,47972,14_2
320,2019,2,Formosa,2258,46751,41136,19_2
272,2019,4,Formosa,5671,46711,36197,19_4
826,2014,1,La Pampa,10,46506,46560,14_1
296,2019,3,Formosa,4443,46373,37923,19_3
248,2020,1,Formosa,6918,46276,44512,20_1
382,2018,4,Tierra Del Fuego,67,46260,40383,18_4
163,2021,1,Santa Cruz,647,46065,39479,21_1
344,2019,1,Formosa,1654,45299,37345,19_1
368,2018,4,Formosa,1654,45204,37266,18_4
417,2018,2,Jujuy,7,45095,37518,18_2
393,2018,3,Jujuy,623,44897,37256,18_3
392,2018,3,Formosa,1434,44857,37165,18_3
416,2018,2,Formosa,1243,44546,37128,18_2
441,2018,1,Jujuy,4,44393,39891,18_1
406,2018,3,Tierra Del Fuego,13,44300,46049,18_3
465,2017,4,Jujuy,3,43550,39327,17_4
430,2018,2,Tierra Del Fuego,0,43505,43602,18_2
609,2016,2,Jujuy,0,43496,36359,16_2
358,2019,1,Tierra Del Fuego,29,43361,47431,19_1
489,2017,3,Jujuy,2,43269,39300,17_3
537,2017,1,Jujuy,0,43203,40083,17_1
513,2017,2,Jujuy,1,42658,38860,17_2
561,2016,4,Jujuy,0,42626,39597,16_4
585,2016,3,Jujuy,0,42541,39451,16_3
187,2020,4,Santa Cruz,647,40674,35310,20_4
166,2021,1,Tierra Del Fuego,919,40422,30726,21_1
286,2019,4,Tierra Del Fuego,1962,40392,26941,19_4
633,2016,1,Jujuy,0,40295,35107,16_1
657,2015,4,Jujuy,0,39925,34881,15_4
214,2020,3,Tierra Del Fuego,937,39655,30740,20_3
190,2020,4,Tierra Del Fuego,922,39614,30428,20_4
681,2015,3,Jujuy,0,39550,43075,15_3
693,2015,3,Santiago Del Estero,0,39398,39769,15_3
717,2015,2,Santiago Del Estero,0,39379,48145,15_2
283,2019,4,Santa Cruz,8,39370,35332,19_4
765,2014,4,Santiago Del Estero,0,39301,40360,14_4
211,2020,3,Santa Cruz,120,39281,34511,20_3
238,2020,2,Tierra Del Fuego,796,39189,29379,20_2
669,2015,4,Santiago Del Estero,0,39138,39796,15_4
622,2016,2,Tierra Del Fuego,0,39075,41793,16_2
235,2020,2,Santa Cruz,119,38869,39599,20_2
242,2020,1,Catamarca,10299,38860,23106,20_1
741,2015,1,Santiago Del Estero,0,38617,46862,15_1
645,2016,1,Santiago Del Estero,0,38394,38952,16_1
259,2020,1,Santa Cruz,119,38335,38686,20_1
266,2019,4,Catamarca,7477,38311,27920,19_4
813,2014,2,Santiago Del Estero,0,37996,36407,14_2
705,2015,2,Jujuy,0,37723,39501,15_2
621,2016,2,Santiago Del Estero,0,37669,38071,16_2
262,2020,1,Tierra Del Fuego,518,37606,26890,20_1
789,2014,3,Santiago Del Estero,0,37540,43070,14_3
307,2019,3,Santa Cruz,4,37430,34205,19_3
837,2014,1,Santiago Del Estero,0,37113,35672,14_1
742,2015,1,Tierra Del Fuego,0,36944,42549,15_1
694,2015,3,Tierra Del Fuego,0,36710,39408,15_3
729,2015,1,Jujuy,0,36612,38100,15_1
597,2016,3,Santiago Del Estero,0,36592,30691,16_3
718,2015,2,Tierra Del Fuego,0,36375,39073,15_2
753,2014,4,Jujuy,0,35955,35005,14_4
550,2017,1,Tierra Del Fuego,0,35710,38419,17_1
526,2017,2,Tierra Del Fuego,0,35710,38419,17_2
574,2016,4,Tierra Del Fuego,0,35710,38419,16_4
142,2021,2,Tierra Del Fuego,889,35693,26723,21_2
598,2016,3,Tierra Del Fuego,0,35381,38090,16_3
573,2016,4,Santiago Del Estero,0,35054,29245,16_4
338,2019,1,Catamarca,7,34739,26705,19_1
549,2017,1,Santiago Del Estero,0,34478,28647,17_1
454,2018,1,Tierra Del Fuego,0,34409,37117,18_1
386,2018,3,Catamarca,7,34373,21681,18_3
801,2014,2,Jujuy,0,34344,32777,14_2
502,2017,3,Tierra Del Fuego,0,34164,36918,17_3
410,2018,2,Catamarca,6,34073,22085,18_2
403,2018,3,Santa Cruz,3,33945,36305,18_3
434,2018,1,Catamarca,4,33929,21955,18_1
825,2014,1,Jujuy,0,33803,32305,14_1
427,2018,2,Santa Cruz,3,33772,31070,18_2
451,2018,1,Santa Cruz,3,33772,31070,18_1
777,2014,3,Jujuy,0,33709,33285,14_3
314,2019,2,Catamarca,10,33622,23790,19_2
362,2018,4,Catamarca,7,33583,25715,18_4
646,2016,1,Tierra Del Fuego,0,33304,36013,16_1
525,2017,2,Santiago Del Estero,0,33199,27145,17_2
670,2015,4,Tierra Del Fuego,0,32963,35672,15_4
790,2014,3,Tierra Del Fuego,0,32698,35828,14_3
667,2015,4,Santa Cruz,0,32555,34478,15_4
691,2015,3,Santa Cruz,0,32483,34416,15_3
619,2016,2,Santa Cruz,0,32427,34895,16_2
595,2016,3,Santa Cruz,0,32397,34624,16_3
643,2016,1,Santa Cruz,0,32393,34158,16_1
290,2019,3,Catamarca,15,32382,22272,19_3
440,2018,1,Formosa,1046,32320,25158,18_1
464,2017,4,Formosa,824,32055,34158,17_4
571,2016,4,Santa Cruz,0,32013,34389,16_4
547,2017,1,Santa Cruz,0,31863,34188,17_1
766,2014,4,Tierra Del Fuego,0,31786,34439,14_4
523,2017,2,Santa Cruz,0,31765,34023,17_2
478,2017,4,Tierra Del Fuego,0,31652,34494,17_4
814,2014,2,Tierra Del Fuego,0,31546,34658,14_2
838,2014,1,Tierra Del Fuego,0,31527,37092,14_1
488,2017,3,Formosa,459,31132,33577,17_3
475,2017,4,Santa Cruz,3,29978,31543,17_4
512,2017,2,Formosa,139,29958,31765,17_2
499,2017,3,Santa Cruz,1,29955,32202,17_3
584,2016,3,Formosa,10,29861,31719,16_3
536,2017,1,Formosa,22,29707,30954,17_1
458,2017,4,Catamarca,2,29558,22194,17_4
560,2016,4,Formosa,17,29518,31228,16_4
608,2016,2,Formosa,10,28836,30594,16_2
632,2016,1,Formosa,5,28316,29978,16_1
656,2015,4,Formosa,4,28091,30054,15_4
680,2015,3,Formosa,2,27751,28369,15_3
811,2014,2,Santa Cruz,0,27166,28541,14_2
704,2015,2,Formosa,1,27053,26929,15_2
554,2016,4,Catamarca,0,27032,22764,16_4
482,2017,3,Catamarca,1,27011,22170,17_3
578,2016,3,Catamarca,0,26984,22724,16_3
835,2014,1,Santa Cruz,0,26760,28217,14_1
506,2017,2,Catamarca,1,26703,21935,17_2
728,2015,1,Formosa,1,26700,33990,15_1
602,2016,2,Catamarca,1,26604,22594,16_2
650,2015,4,Catamarca,1,26471,22850,15_4
626,2016,1,Catamarca,1,26388,22659,16_1
530,2017,1,Catamarca,0,26315,21990,17_1
739,2015,1,Santa Cruz,0,26282,28368,15_1
752,2014,4,Formosa,1,26208,21988,14_4
674,2015,3,Catamarca,1,26091,29777,15_3
787,2014,3,Santa Cruz,0,26069,27832,14_3
776,2014,3,Formosa,0,25935,25376,14_3
715,2015,2,Santa Cruz,0,25756,27869,15_2
763,2014,4,Santa Cruz,0,25703,25729,14_4
698,2015,2,Catamarca,1,25678,27706,15_2
355,2019,1,Santa Cruz,4,25606,30800,19_1
800,2014,2,Formosa,0,25600,25044,14_2
746,2014,4,Catamarca,1,25493,26560,14_4
824,2014,1,Formosa,0,25422,24892,14_1
722,2015,1,Catamarca,1,25130,26778,15_1
379,2018,4,Santa Cruz,4,24768,26577,18_4
794,2014,2,Catamarca,0,24683,23938,14_2
770,2014,3,Catamarca,0,24680,23935,14_3
818,2014,1,Catamarca,0,24232,23307,14_1
426,2018,2,San Luis,2,21454,13642,18_2
450,2018,1,San Luis,2,21382,13570,18_1
587,2016,3,La Rioja,2,16935,13797,16_3
659,2015,4,La Rioja,3,16932,14100,15_4
683,2015,3,La Rioja,3,16771,17906,15_3
611,2016,2,La Rioja,5,16746,13668,16_2
635,2016,1,La Rioja,3,16691,13816,16_1
707,2015,2,La Rioja,3,16509,19685,15_2
755,2014,4,La Rioja,3,16402,18011,14_4
731,2015,1,La Rioja,3,16334,19020,15_1
563,2016,4,La Rioja,3,16315,13176,16_4
515,2017,2,La Rioja,2,16288,12984,17_2
539,2017,1,La Rioja,2,16224,13092,17_1
779,2014,3,La Rioja,0,15913,15215,14_3
803,2014,2,La Rioja,0,15912,15214,14_2
827,2014,1,La Rioja,0,15711,14951,14_1
474,2017,4,San Luis,7,14900,14432,17_4
594,2016,3,San Luis,2,14091,14197,16_3
522,2017,2,San Luis,2,14029,14144,17_2
546,2017,1,San Luis,2,14029,14144,17_1
570,2016,4,San Luis,2,14029,14144,16_4
618,2016,2,San Luis,2,13950,14101,16_2
642,2016,1,San Luis,2,13660,13775,16_1
666,2015,4,San Luis,2,13488,13603,15_4
690,2015,3,San Luis,2,13302,13426,15_3
714,2015,2,San Luis,2,13220,13344,15_2
762,2014,4,San Luis,2,13147,13235,14_4
810,2014,2,San Luis,2,13055,13125,14_2
786,2014,3,San Luis,0,13040,13139,14_3
738,2015,1,San Luis,2,12741,12910,15_1
834,2014,1,San Luis,2,12557,12654,14_1
498,2017,3,San Luis,7,12406,12995,17_3
