,Año,Trimestre,Provincia,+ 30 Mbps,Total,menos_30mbps,year_trim
341,2019,1,Córdoba,50716,746418,592628,19_1
365,2018,4,Córdoba,48809,737339,583079,18_4
332,2019,2,Santa Fe,49865,736108,541633,19_2
356,2019,1,Santa Fe,36502,732320,530850,19_1
389,2018,3,Córdoba,39854,723352,581365,18_3
380,2018,4,Santa Fe,36427,720390,537519,18_4
437,2018,1,Córdoba,29228,713991,572943,18_1
413,2018,2,Córdoba,34950,710289,565362,18_2
461,2017,4,Córdoba,24251,700611,567658,17_4
404,2018,3,Santa Fe,31266,692572,535691,18_3
428,2018,2,Santa Fe,26512,684591,372389,18_2
452,2018,1,Santa Fe,22801,680053,338484,18_1
485,2017,3,Córdoba,16741,679929,566018,17_3
476,2017,4,Santa Fe,19602,671964,529304,17_4
605,2016,2,Córdoba,1242,659050,536805,16_2
509,2017,2,Córdoba,5069,658560,567271,17_2
581,2016,3,Córdoba,1322,644678,567800,16_3
533,2017,1,Córdoba,2071,642098,558466,17_1
557,2016,4,Córdoba,1606,637473,531909,16_4
653,2015,4,Córdoba,1088,625929,563184,15_4
500,2017,3,Santa Fe,12982,624462,507027,17_3
677,2015,3,Córdoba,1048,622813,562006,15_3
701,2015,2,Córdoba,903,611835,557343,15_2
629,2016,1,Córdoba,1039,611484,546014,16_1
725,2015,1,Córdoba,815,597833,551857,15_1
749,2014,4,Córdoba,782,589873,547144,14_4
620,2016,2,Santa Fe,1277,588531,518749,16_2
773,2014,3,Córdoba,664,583972,561012,14_3
797,2014,2,Córdoba,627,577464,548823,14_2
596,2016,3,Santa Fe,1308,568104,484950,16_3
821,2014,1,Córdoba,588,567453,543113,14_1
524,2017,2,Santa Fe,4275,567004,469875,17_2
548,2017,1,Santa Fe,1831,562613,483630,17_1
572,2016,4,Santa Fe,1529,561542,485612,16_4
668,2015,4,Santa Fe,1189,560204,429837,15_4
692,2015,3,Santa Fe,1133,555766,493014,15_3
644,2016,1,Santa Fe,1063,551809,486629,16_1
716,2015,2,Santa Fe,1014,547253,493034,15_2
740,2015,1,Santa Fe,900,536252,490082,15_1
764,2014,4,Santa Fe,824,527471,497750,14_4
788,2014,3,Santa Fe,806,515368,483535,14_3
812,2014,2,Santa Fe,792,512094,487669,14_2
836,2014,1,Santa Fe,668,506013,485224,14_1
12,2022,3,Mendoza,150043,289523,113659,22_3
36,2022,2,Mendoza,121366,279562,132626,22_2
60,2022,1,Mendoza,95048,275185,151469,22_1
31,2022,2,Entre Ríos,98769,269352,106230,22_2
7,2022,3,Entre Ríos,102195,268959,104113,22_3
55,2022,1,Entre Ríos,81757,267926,120762,22_1
84,2021,4,Mendoza,75031,267587,163286,21_4
79,2021,4,Entre Ríos,77290,265046,122500,21_4
23,2022,3,Tucumán,159600,263117,64570,22_3
103,2021,3,Entre Ríos,67961,260375,120846,21_3
127,2021,2,Entre Ríos,61605,257632,125564,21_2
108,2021,3,Mendoza,21087,255939,222765,21_3
47,2022,2,Tucumán,145541,254527,65543,22_2
151,2021,1,Entre Ríos,54600,251963,129422,21_1
